2025-12-20 05:45:13.341 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.341 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.352 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.353 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.353 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.353 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.353 [scala-execution-context-global-153] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.353 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.353 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.353 [scala-execution-context-global-153] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.363 [scala-execution-context-global-149] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.363 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.364 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.364 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.364 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.364 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.364 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.372 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.372 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.373 [scala-execution-context-global-153] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.373 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.373 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.373 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.382 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.383 [scala-execution-context-global-153] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.383 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.383 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.383 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.392 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.392 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.393 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.393 [scala-execution-context-global-153] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.393 [scala-execution-context-global-153] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.393 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.394 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.394 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.402 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.403 [scala-execution-context-global-149] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.403 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.404 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.404 [scala-execution-context-global-149] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.405 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.413 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.413 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.413 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.414 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.414 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.414 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.417 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.422 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.422 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.423 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.423 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.423 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.425 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.425 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.433 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.434 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.434 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.434 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.434 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.434 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.440 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.440 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.440 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.440 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.440 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.440 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.440 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.440 [scala-execution-context-global-149] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.449 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.449 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.449 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.449 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.449 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.450 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.450 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.455 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.456 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.462 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.463 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.463 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.463 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.463 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.463 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.463 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.469 [scala-execution-context-global-149] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.470 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.470 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.470 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.470 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.470 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.470 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.470 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.476 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.476 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.476 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.477 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.479 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.479 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.479 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.480 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.487 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.489 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.489 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.496 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.496 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.496 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.497 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.498 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.498 [scala-execution-context-global-149] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.499 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.499 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.504 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.504 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.504 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.504 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.504 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.511 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.511 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.513 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.514 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.514 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.514 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.513 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.513 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.519 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.519 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.519 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.519 [scala-execution-context-global-150] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.519 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.524 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.525 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.526 [scala-execution-context-global-140] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.526 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.527 [scala-execution-context-global-146] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.527 [scala-execution-context-global-151] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.531 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.531 [scala-execution-context-global-152] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.531 [scala-execution-context-global-147] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.531 [scala-execution-context-global-141] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.532 [scala-execution-context-global-145] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.532 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.532 [scala-execution-context-global-142] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
2025-12-20 05:45:13.533 [scala-execution-context-global-148] ERROR chess.engine.service - Job failed: Engine timeout (soft mock)
