move_prefix_hash	position_key	matched_ply	eco	name	family	lineage	frequency	sample_count	confidence
99bfa20567d4906b	8824cb51e69a8ae0	4	D02	Queen's Pawn Game: Chigorin Variation	D	queen_pawn/queen_pawn_system	2	2	0.7500
2189bc6d253a8826	8898ba5bd27edea7	3	A16	English Opening: Anglo-Indian Defense, Queen's Knight Variation	A	flank/english	3	3	0.7000
e31186a9d2108902	88dea06687833c74	10	E15	Queen's Indian Defense: Fianchetto Variation, Sämisch Variation	E	indian/queens_indian	1	1	0.9800
7ea4160a07d9fc4c	8b17f8b06e6102ff	4	A01	Nimzo-Larsen Attack: Modern Variation	A	flank/nimzo_larsen	1	1	0.7500
9bc9e01cfd3731d3	8be84853a4ddd060	4	A17	English Opening: Anglo-Indian Defense, Hedgehog System	A	flank/english	2	2	0.7500
a27d62670772ec79	8c709eb2d4d6149b	2	A01	Nimzo-Larsen Attack: Modern Variation	A	flank/nimzo_larsen	1	1	0.6500
13702847c2d6f99a	8ce98eb4a7df6432	5	C02	French Defense: Advance Variation	C	open_games/french	2	2	0.8000
cfe9dfe0615f8301	8e8bc5f2df28f85d	8	B04	Alekhine Defense: Modern Variation, Larsen Variation	B	semi_open/alekhine	1	1	0.9500
90d61be00a1a6ff0	8f5d920ebcc40ba6	4	D07	Queen's Gambit Declined: Chigorin Defense	D	queen_pawn/queens_gambit	2	2	0.7500
26e48496b834cfae	9033597480158dc7	5	A18	English Opening: Mikenas-Carls Variation	A	flank/english	1	1	0.8000
99f790d111111db9	9096280d9ad59f15	6	B15	Caro-Kann Defense	B	semi_open/caro_kann	2	2	0.8500
f8f8c273c681fd61	92843d61c12261fc	8	A02	Bird Opening: From's Gambit, Lasker Variation	A	flank/bird	1	1	0.9500
f38620edbf4a874c	93561bed5175fe7b	5	B10	Caro-Kann Defense: Two Knights Attack	B	semi_open/caro_kann	1	1	0.8000
0c7e050a7a90bbe6	93e73acc9a7fd278	4	D30	Queen's Gambit Declined	D	queen_pawn/queens_gambit	4	4	0.7500
998f617b931289ac	9406600c415eb557	4	B01	Scandinavian Defense: Mieses-Kotroc Variation	B	semi_open/scandinavian	1	1	0.7500
c4bd1a82ab19664d	9409d1b0dccfac49	4	A00	Hungarian Opening: Reversed Modern Defense	A	semi_open/pirc_modern	1	1	0.7500
2ffbb25c94f55505	977f8ea7afc7dff1	6	C07	French Defense: Tarrasch Variation, Open System	C	open_games/french	2	2	0.8500
654fdecda8337752	98c3741c6985808b	2	A04	Zukertort Opening: Slav Invitation	A	flank/zukertort	1	1	0.6500
5d3e39ee3d830865	9b42742445835553	1	A04	Zukertort Opening	A	flank/zukertort	9	9	0.6000
e11b664a2f3d8e57	9c0b26bd7c78b852	3	A07	King's Indian Attack	A	flank/kings_indian_attack	1	1	0.7000
c13472489f41caee	9cd1a2b639a3ceaa	9	C12	French Defense: McCutcheon Variation, Advance Variation	C	open_games/french	1	1	0.9800
68abefa23c7186b8	9ef99229b6291086	5	D21	Queen's Gambit Accepted: Normal Variation	D	queen_pawn/queens_gambit	1	1	0.8000
351631a0f9bd488b	9f33e828dd9ce6f7	15	C06	French Defense: Tarrasch Variation, Closed Variation, Main Line	C	open_games/french	1	1	0.9800
74e291b29874ec89	a0e33b285cdc8a4a	7	B04	Alekhine Defense: Modern Variation	B	semi_open/alekhine	1	1	0.9000
c368479bc3eae743	a1a4cc9f0cf0ec94	6	D05	Queen's Pawn Game: Colle System	D	queen_pawn/queen_pawn_system	1	1	0.8500
c2742fc9ee45758a	a31410ebe304e3ab	4	D08	Queen's Gambit Declined: Albin Countergambit	D	queen_pawn/albin	1	1	0.7500
98ddddb14f5566a0	a37649f0af52c27d	1	A02	Bird Opening	A	flank/bird	2	2	0.6000
5eadc4ca05994d7e	a3d41d2bf38b872d	2	B02	Alekhine Defense	B	semi_open/alekhine	3	3	0.6500
bd2c553c8b5d6c93	a675d4faaeef3192	16	E09	Catalan Opening: Closed Variation, Traditional Variation	E	indian/catalan	1	1	0.9800
87577a7f166643a0	a712166a416e38b0	7	D11	Slav Defense: Quiet Variation	D	queen_pawn/slav	1	1	0.9000
cf925b4710ec82ea	a81dda0917107977	7	E12	Queen's Indian Defense: Kasparov Variation	E	indian/queens_indian	1	1	0.9000
ade619e733292801	a8cb699cfcbdb0d1	2	A11	English Opening: Caro-Kann Defensive System	A	flank/english	1	1	0.6500
d23d753b6a58d4fe	a997dd8f462d938c	2	A13	English Opening: Agincourt Defense	A	flank/english	2	2	0.6500
3e58cadeb6c35e16	ab06f9e220f02b05	10	C17	French Defense: Winawer Variation, Retreat Variation	C	open_games/french_winawer	1	1	0.9800
eaa8c66ed12c2fa9	abb7e645a1cb10cd	6	E11	Bogo-Indian Defense	E	indian/bogo_indian	1	1	0.8500
9baa823caa890c7e	ac2d115714e80a04	8	C13	French Defense: Classical Variation, Normal Variation	C	open_games/french	2	2	0.9500
f4e6557565ddebfd	afc28a071379c588	9	C17	French Defense: Winawer Variation, Bogoljubow Variation	C	open_games/french_winawer	1	1	0.9800
7ec33cde5edca1fd	b020f5399c223e63	3	A21	English Opening: King's English Variation, Reversed Sicilian	A	flank/english	1	1	0.7000
199774efe68e0f18	b0c844a21f80973b	7	D15	Slav Defense: Three Knights Variation	D	queen_pawn/slav	1	1	0.9000
ced0b202c16ddb35	b158ddd8a5248dae	6	D10	Slav Defense	D	queen_pawn/slav	1	1	0.8500
9076b1c79647d539	b2096677c1b19b07	4	D00	Queen's Pawn Game: Chigorin Variation	D	queen_pawn/queen_pawn_system	1	1	0.7500
bea405f217203d7e	b4e9e529007ab137	4	B10	Caro-Kann Defense	B	semi_open/caro_kann	1	1	0.7500
c933422be6158690	b5f1e7c0e2dd17e6	10	B09	Pirc Defense: Austrian Attack	B	semi_open/pirc_modern	1	1	0.9800
6e25baab6a5487b8	b60160779eb3961e	5	C10	French Defense: Paulsen Variation	C	open_games/french	9	9	0.8000
